model,quantization,gpu_memory_gb,benchmark,tokens,cache_capacity,total_experts,cache_pct,predictor_ms,layer_compute_ms,transfer_ms,baseline_latency_ms,baseline_hit_rate,baseline_misses,K6_latency_ms,K6_hit_rate,K6_misses,K6_evictions,K6_total_prefetches,K6_dedup_skipped,K6_wasted_prefetches,K6_waste_rate,K6_speedup,K6_miss_reduction,K6_hit_rate_gain,K8_latency_ms,K8_hit_rate,K8_misses,K8_evictions,K8_total_prefetches,K8_dedup_skipped,K8_wasted_prefetches,K8_waste_rate,K8_speedup,K8_miss_reduction,K8_hit_rate_gain,K10_latency_ms,K10_hit_rate,K10_misses,K10_evictions,K10_total_prefetches,K10_dedup_skipped,K10_wasted_prefetches,K10_waste_rate,K10_speedup,K10_miss_reduction,K10_hit_rate_gain
deepseek_moe_16b,4bit,16,gsm8k,112,1792,1792,1.0,0.6216628226899991,52.59732386800978,50.0,2134.4134587219787,0.9118165784832452,1600,1500.7519263631814,0.9921186067019401,143,0,1480,64240,480,0.32432432432432434,1.422229364645474,11.188811188811188,0.08030202821869492,1483.7876406488956,0.9942129629629629,105,0,1530,85903,707,0.4620915032679739,1.4384898487148396,15.238095238095237,0.08239638447971775,1477.5376406488956,0.9949845679012346,91,0,1547,107179,823,0.5319974143503555,1.4445746761379294,17.582417582417584,0.08316798941798942
deepseek_moe_16b,4bit,16,mmlu,120,1792,1792,1.0,0.6210263685702726,51.61399945064827,50.0,2041.0779851675034,0.9200617283950617,1554,1485.762363785567,0.9906893004115226,181,0,1432,69021,535,0.37360335195530725,1.3737580348764862,8.585635359116022,0.07062757201646086,1457.012363785567,0.994238683127572,112,0,1515,92276,809,0.533993399339934,1.400865247199711,13.875,0.07417695473251029,1447.8456971189003,0.9953703703703703,90,0,1542,115155,921,0.5972762645914397,1.4097344691006017,17.266666666666666,0.07530864197530862
deepseek_moe_16b,4bit,16,wikitext_test,256,1792,1792,1.0,0.6293807490556328,44.64995197565467,50.0,1525.2752658426762,0.9605275848765432,1637,1267.6591710671778,0.9944299768518519,231,0,1408,109147,458,0.3252840909090909,1.203221891700294,7.086580086580087,0.03390239197530864,1252.6201085671778,0.9962866512345679,154,0,1485,145847,705,0.47474747474747475,1.2176678750490264,10.62987012987013,0.03575906635802473,1249.4951085671778,0.9966724537037037,138,0,1501,182328,852,0.5676215856095936,1.2207132748136496,11.86231884057971,0.0361448688271605
deepseek_moe_16b,4bit,32,gsm8k,112,1792,1792,1.0,0.6338453378735317,53.125016883567525,50.0,2148.6611701420375,0.9118165784832452,1600,1515.3285656931928,0.9921186067019401,143,0,1480,64240,480,0.32432432432432434,1.4179506799960075,11.188811188811188,0.08030202821869492,1498.364279978907,0.9942129629629629,105,0,1530,85903,707,0.4620915032679739,1.434004533378415,15.238095238095237,0.08239638447971775,1492.114279978907,0.9949845679012346,91,0,1547,107179,823,0.5319974143503555,1.4400111298260692,17.582417582417584,0.08316798941798942
deepseek_moe_16b,4bit,32,mmlu,120,1792,1792,1.0,0.6119265207606885,51.86978023582034,50.0,2047.9840663671494,0.9200617283950617,1554,1492.4227490943554,0.9906893004115226,181,0,1432,69021,535,0.37360335195530725,1.3722546561354176,8.585635359116022,0.07062757201646086,1463.6727490943551,0.994238683127572,112,0,1515,92276,809,0.533993399339934,1.399208988234792,13.875,0.07417695473251029,1454.5060824276884,0.9953703703703703,90,0,1542,115155,921,0.5972762645914397,1.4080271585725501,17.266666666666666,0.07530864197530862
deepseek_moe_16b,4bit,32,wikitext_test,256,1792,1792,1.0,0.6270921568696698,44.345898690047086,50.0,1517.0658271312711,0.9605275848765432,1637,1259.3879403667524,0.9944299768518519,231,0,1408,109147,458,0.3252840909090909,1.2046056489071024,7.086580086580087,0.03390239197530864,1244.3488778667524,0.9962866512345679,154,0,1485,145847,705,0.47474747474747475,1.2191643791506852,10.62987012987013,0.03575906635802473,1241.2238778667524,0.9966724537037037,138,0,1501,182328,852,0.5676215856095936,1.2222338404725168,11.86231884057971,0.0361448688271605
deepseek_moe_16b,4bit,4,gsm8k,112,370,1792,0.20647321428571427,0.6492432516275181,53.770669036441376,50.0,6259.843778269629,0.4064153439153439,10770,2294.337631777859,0.8981481481481481,1848,17018,15451,47692,5908,0.38237007313442495,2.728388224804969,5.827922077922078,0.49173280423280424,2148.355488920716,0.9161706349206349,1521,20334,19094,58874,9815,0.5140358227715512,2.913783966644379,7.0808678500986195,0.5097552910052909,2187.6412032064304,0.9113205467372134,1609,23246,21918,62037,12879,0.5875992335067068,2.8614581628351865,6.693598508390305,0.5049052028218695
deepseek_moe_16b,4bit,4,mmlu,120,370,1792,0.20647321428571427,0.6181285986331878,51.79713415658033,50.0,6362.2726222276715,0.38719135802469135,11913,2313.9620943907644,0.8890432098765432,2157,19666,17790,48999,6842,0.3845980888139404,2.749514625866321,5.522948539638387,0.5018518518518518,2221.878761057431,0.9004115226337449,1936,23646,21991,57201,10919,0.49652130416988766,2.863465250102015,6.153409090909091,0.5132201646090535,2280.628761057431,0.8931584362139918,2077,25949,24153,58728,13357,0.5530161884652011,2.7897011257885547,5.73567645642754,0.5059670781893004
deepseek_moe_16b,4bit,4,wikitext_test,256,370,1792,0.20647321428571427,0.6356266720082473,44.87683316844481,50.0,6141.1666830480135,0.3914207175925926,25239,2416.3364156922325,0.8533950617283951,6080,38255,32456,75472,12154,0.37447621395119546,2.541519733413731,4.151151315789473,0.46197434413580246,2223.5629781922335,0.8771942515432098,5093,45906,41094,92809,20401,0.49644716990314885,2.7618586670483287,4.955625368152366,0.48577353395061723,2223.9536031922335,0.8771460262345679,5095,50623,45809,104070,25912,0.5656530376126961,2.761373562035226,4.9536800785083415,0.48572530864197533
deepseek_moe_16b,4bit,8,gsm8k,112,1053,1792,0.5876116071428571,0.640777472993014,53.86176946869603,50.0,3010.964204226221,0.8078152557319224,3487,1768.8901959970337,0.9632936507936508,666,5014,5312,60122,1907,0.3589984939759036,1.7021769983461825,5.2357357357357355,0.15547839506172845,1727.8187674256053,0.9683641975308642,574,6852,7242,79290,3764,0.5197459265396299,1.7426389046071433,6.074912891986063,0.16054894179894186,1760.4080531398915,0.9643408289241623,647,9580,9897,96091,5844,0.5904819642315853,1.7103785675462106,5.3894899536321486,0.15652557319223992
deepseek_moe_16b,4bit,8,mmlu,120,1053,1792,0.5876116071428571,0.618463991313345,51.83296346664429,50.0,2676.5733469327292,0.842335390946502,3065,1665.771874698189,0.9691872427983539,599,3963,4328,66071,1811,0.4184380776340111,1.6068066627776874,5.116861435726211,0.12685185185185188,1632.4385413648558,0.9733024691358024,519,6142,6587,86716,3738,0.5674814027630181,1.6396166098203544,5.905587668593449,0.13096707818930042,1665.771874698189,0.9691872427983539,599,9107,9472,105330,5991,0.632495777027027,1.6068066627776874,5.116861435726211,0.12685185185185188
deepseek_moe_16b,4bit,8,wikitext_test,256,1053,1792,0.5876116071428571,0.6259839955924286,43.558996139853086,50.0,3065.9366457760334,0.7666859567901234,9676,1687.916338657027,0.9388985339506173,2534,13708,12138,98195,4463,0.36768825177129677,1.816403204092102,3.818468823993686,0.17221257716049387,1641.2366511570267,0.9446614583333334,2295,18119,16788,129449,8525,0.507803192756731,1.8680649396993616,4.216122004357299,0.17797550154320996,1641.2366511570262,0.9446614583333334,2295,22340,21009,159522,12510,0.5954590889618735,1.8680649396993623,4.216122004357299,0.17797550154320996
deepseek_moe_16b,8bit,16,gsm8k,112,1053,1792,0.5876116071428571,0.47843437196893823,82.34790405962202,50.0,3810.4469810383666,0.8040674603174603,3555,2552.382566224385,0.9609788359788359,708,5173,5429,59996,2030,0.3739178485909007,1.4928980598214066,5.021186440677966,0.15691137566137559,2509.525423367242,0.9662698412698413,612,7098,7450,78978,3950,0.5302013422818792,1.518393456211959,5.8088235294117645,0.16220238095238093,2530.0611376529564,0.9637345679012346,658,9758,10064,95892,6004,0.5965818759936407,1.506069131820734,5.40273556231003,0.15966710758377423
